"","Season","TeamName","Tempo","RankTempoSeason","AdjTempo","RankAdjTempoSeason","OE","RankOESeason","AdjOE","RankAdjOESeason","DE","RankDESeason","AdjDE","RankAdjDESeason","AdjSOS","RankAdjSOS_Season","seed_season"
"49",2023,"Purdue",64.2104,339,64.3846,322,113.435,11,119.362,7,97.4768,56,94.8154,26,24.5463,7,"1"
"50",2023,"Saint Mary's",63.5736,346,61.7454,359,110.407,37,113.47,40,93.3983,10,91.5736,9,21.896,11,"5"
"51",2023,"San Diego St.",66.5126,254,66.009,252,106.67,99,111.929,64,95.1386,23,91.6744,10,20.2549,14,"5"
"52",2023,"Southeast Missouri St.",73.8049,3,72.5476,7,102.664,188,100.937,263,103.119,177,108.149,243,-7.21197,257,"16"
"53",2023,"TCU",70.8734,41,69.8117,49,105.499,126,112.366,53,95.5984,31,94.3027,20,18.0633,27,"6"
"54",2023,"Tennessee",66.2411,271,65.5272,278,108.476,68,112.675,49,87.5278,2,87.97,2,24.7052,5,"4"
"55",2023,"Texas",70.3477,66,69.1219,91,109.362,51,116.581,18,94.4193,17,92.0106,11,24.5707,6,"2"
"56",2023,"Texas A&M",67.3544,212,66.1613,237,108.864,62,114.483,30,98.0857,66,96.1997,37,18.2834,25,"7"
"57",2023,"Texas A&M Corpus Chris",70.668,53,69.2572,80,109.864,41,107.367,137,102.144,147,107.592,229,-0.225051,170,"16"
"58",2023,"Texas Southern",70.7133,49,69.324,76,94.0655,342,96.5543,330,101.105,119,106.264,196,-9.71,285,"16"
"59",2023,"UC Santa Barbara",65.2422,313,64.9567,302,109.642,46,111.335,71,100.429,106,104.693,163,6.6422,102,"14"
"60",2023,"UCLA",67.3147,213,66.2741,230,109.714,44,114.875,25,89.6305,3,87.2423,1,27.6323,2,"2"
"61",2023,"UNC Asheville",68.6291,150,68.5066,121,104.637,145,104.141,195,99.299,82,102.635,115,1.50642,146,"15"
"62",2023,"USC",68.5518,155,68.1465,140,105.647,122,113.122,43,97.7374,63,97.4891,48,15.6327,36,"10"
"63",2023,"Utah St.",69.0721,123,68.7801,108,111.983,20,117.762,13,100.749,113,98.8807,64,18.8814,18,"10"
"64",2023,"VCU",68.432,159,68.0086,147,104.381,150,107.195,140,92.132,6,94.0449,17,13.1498,58,"12"
"65",2023,"Vermont",65.4601,306,64.6048,314,109.144,55,109.778,99,100.594,109,104.357,153,5.42124,113,"15"
"66",2023,"Virginia",62.3949,360,61.5696,360,108.334,70,111.166,74,96.2189,38,94.7544,25,16.4114,34,"4"
"67",2023,"West Virginia",69.8826,84,68.8537,104,108.969,58,117.144,15,101.511,134,97.9996,52,19.1445,17,"9"
"68",2023,"Xavier",71.8516,30,70.3573,39,112.788,16,119.297,9,102.922,167,99.604,70,19.693,16,"3"
"69",2022,"Akron",63.8375,344,62.0745,351,107.883,52,106.151,113,99.9619,131,102.661,166,3.48951,131,"13"
"70",2022,"Alabama",73.3157,10,71.7144,12,109.137,37,116.098,14,104.116,238,98.7358,94,17.3625,25,"6"
"71",2022,"Arizona",72.9192,13,72.1752,8,115.613,6,119.64,5,92.5195,14,92.431,20,27.2089,2,"1"
"72",2022,"Arkansas",72.0273,28,70.59,28,106.057,83,111.072,40,94.3928,28,92.0511,17,19.0214,20,"4"
"73",2022,"Auburn",71.398,41,70.0205,40,108.347,47,113.602,24,92.1279,11,89.1491,8,24.453,10,"2"
"74",2022,"Baylor",68.5501,149,67.2084,169,111.13,22,117.874,9,92.7023,15,91.5538,14,26.3204,5,"1"
"75",2022,"Boise St.",64.907,332,64.6171,305,103.572,142,108.443,76,92.8519,16,92.0306,16,16.412,26,"8"
