"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Abilene Christian",71.134,47,70.3257,37,102.485,166,104.055,157,96.9711,59,100.679,128,3.3757,131
"2022","Air Force",63.428,347,63.2371,342,92.9406,334,95.5363,306,104.316,246,104.021,208,-8.48428,269
"2022","Akron",63.6546,343,62.0843,352,107.368,55,105.642,121,99.9099,124,102.02,158,3.62246,126
"2022","Alabama",73.269,10,71.9053,11,108.532,44,115.182,16,104.254,241,98.6141,92,16.5677,28
"2022","Alabama A&M",68.3935,162,66.5795,212,88.6957,354,87.329,355,96.2221,45,100.83,130,-13.5011,314
"2022","Alabama St.",71.1919,45,69.4362,62,96.2452,290,97.0883,283,105.454,264,110.278,308,-13.1893,311
"2022","Albany",65.8294,292,65.15,282,93.9074,325,92.203,341,99.6633,122,102.675,172,-10.4715,286
"2022","Alcorn St.",68.9565,123,67.796,128,95.8669,298,97.285,279,102.536,201,105.379,231,-8.09383,265
"2022","American",65.5956,301,64.9483,291,96.1552,292,94.375,323,107.435,291,110.578,317,-16.2029,331
"2022","Appalachian St.",64.9815,328,64.4935,317,100.247,210,101.049,211,100.211,138,100.792,129,0.257211,166
"2022","Arizona",72.7151,19,72.2291,9,114.737,6,118.553,7,93.265,18,92.5895,21,25.9634,5
"2022","Arizona St.",68.0421,175,67.3051,168,94.5235,314,101.164,207,97.2589,65,93.2269,27,7.93667,97
"2022","Arkansas",71.923,31,70.6934,28,104.945,112,109.864,53,94.3263,26,90.3992,11,19.4643,18
"2022","Arkansas Pine Bluff",68.9177,125,67.0841,185,93.8129,326,97.7822,269,114.574,354,119.302,358,-21.5198,352
"2022","Arkansas St.",68.8801,128,68.2648,110,99.7506,220,99.8802,238,99.1659,104,101.002,133,-1.12154,181
"2022","Army",69.2482,106,68.8158,89,98.9232,245,96.4516,295,102.792,207,107.57,272,-11.1189,295
"2022","Auburn",71.2739,42,70.1123,42,108.011,47,112.683,25,92.6285,10,89.4805,9,23.2026,12
"2022","Austin Peay",65.8389,291,64.6405,313,93.7918,328,94.7914,318,104.012,236,105.622,235,-10.8303,291
"2022","Ball St.",71.6843,35,69.9459,46,103.01,155,101.448,203,107.399,289,109.843,302,-8.39443,267
"2022","Baylor",68.6022,144,67.3834,163,111.568,20,118.022,8,92.7346,11,90.9821,13,27.0396,4
"2022","Bellarmine",63.3471,348,62.0162,353,107.226,59,107.917,81,110.806,335,110.394,312,-2.47783,200
"2022","Belmont",69.9023,83,68.9035,80,109.068,32,108.451,76,96.5427,51,99.0225,104,9.42854,86
"2022","Bethune Cookman",67.2119,230,65.8188,251,92.1625,340,93.0961,335,104.308,244,109.771,300,-16.6754,333
"2022","Binghamton",67.2147,229,67.12,182,97.1149,278,94.8662,316,103.701,230,105.627,236,-10.7607,290
"2022","Boise St.",64.7873,333,64.4471,318,103.088,152,107.526,86,93.215,17,92.3895,20,15.1365,39
"2022","Boston College",65.4551,310,64.9122,294,100.854,203,104.53,146,102.202,188,99.9746,120,4.55499,114
"2022","Boston University",65.0007,326,65.0889,286,106.693,67,105.423,128,103.219,214,109.41,294,-3.98657,218
"2022","Bowling Green",73.6989,7,72.7967,3,104.928,113,102.821,178,110.987,336,113.037,343,-10.2157,284
"2022","Bradley",67.671,199,67.2183,176,103.066,154,104.834,141,95.8266,39,96.8486,64,7.9858,96
"2022","Brown",69.1139,112,67.3481,165,100.073,217,100.299,230,102.166,186,103.048,182,-2.74855,204
"2022","Bryant",72.4779,21,72.5964,4,105.143,106,103.822,160,101.064,160,105.14,223,-1.31785,189
"2022","Bucknell",68.2197,169,67.6765,136,101.767,183,99.9341,237,113.829,352,117.027,356,-17.0932,336
"2022","Buffalo",72.1245,25,71.0379,20,108.744,36,106.932,98,101.935,178,103.54,192,3.39207,130
"2022","Butler",64.9435,330,63.8681,334,95.9444,296,102.561,187,103.394,221,98.6734,95,3.88806,121
"2022","BYU",69.3546,100,68.0135,118,106.017,89,110.118,50,98.4471,91,97.1747,70,12.9433,58
"2022","Cal Baptist",68.7164,137,67.4231,156,99.5352,227,98.8067,256,99.9124,125,103.216,186,-4.40886,225
"2022","Cal Poly",65.0334,325,64.6377,314,92.0139,342,93.0316,336,103.17,213,105.751,240,-12.7193,308
"2022","Cal St. Bakersfield",64.6115,336,64.4101,319,96.0004,295,97.5299,275,103.951,235,106.635,255,-9.10537,276
"2022","Cal St. Fullerton",66.4492,267,66.0515,242,103.497,142,104.144,152,100.048,131,102.678,173,1.46628,154
"2022","Cal St. Northridge",65.2105,317,64.9406,293,91.5744,344,93.9489,328,107.987,306,110.154,305,-16.2046,332
"2022","California",64.9564,329,64.0574,330,96.3457,288,100.535,222,100.743,149,98.1513,84,2.38365,142
"2022","Campbell",63.1272,349,62.4149,345,101.467,188,100.746,217,99.951,126,104.208,210,-3.46162,213
"2022","Canisius",69.2679,104,68.1973,114,96.3401,289,97.4041,277,103.928,233,105.207,224,-7.80275,258
"2022","Central Arkansas",72.7998,16,71.8818,12,97.0158,279,98.7239,257,113.628,350,112.867,341,-14.1434,319
"2022","Central Connecticut",66.1917,273,64.5939,315,92.295,338,91.4865,347,107.531,294,111.193,326,-19.7062,346
"2022","Central Michigan",68.8164,132,67.4921,149,95.6397,302,96.2239,299,111.046,337,109.993,304,-13.7689,318
"2022","Charleston",74.3115,2,73.5167,2,104.38,123,104.705,142,101.987,181,102.435,163,2.26986,144
"2022","Charleston Southern",69.7899,86,68.896,81,91.5229,345,92.2596,340,110.017,328,112.201,338,-19.9413,347
"2022","Charlotte",66.621,261,65.4552,266,104.73,120,104.894,139,107.073,283,107.413,267,-2.51864,201
"2022","Chattanooga",65.5072,307,64.7487,304,110.162,26,108.973,69,99.1434,102,97.4594,76,11.5135,67
"2022","Chicago St.",66.9022,248,65.6478,257,92.8099,335,95.462,308,110.649,332,113.1,344,-17.6382,340
"2022","Cincinnati",68.5406,151,67.5815,143,101.03,201,104.56,145,96.7123,54,97.3152,75,7.24467,101
"2022","Clemson",66.6501,259,66.256,227,106.832,64,110.138,49,102.007,182,98.7813,101,11.3563,71
"2022","Cleveland St.",68.5652,148,67.7971,127,106.933,61,103.334,168,101.26,165,105.318,227,-1.98456,197
"2022","Coastal Carolina",67.1481,233,66.9663,191,102.234,172,102.598,186,98.123,79,101.301,142,1.29747,155
"2022","Colgate",67.4816,207,67.1582,177,110.662,25,108.172,78,99.619,118,103.762,201,4.41051,117
"2022","Colorado",68.4056,160,67.3989,160,102.96,157,106.538,108,97.7033,70,95.9009,48,10.6375,79
"2022","Colorado St.",65.8418,290,65.3555,270,109.518,30,112.852,24,99.6331,119,98.4013,89,14.4511,46
"2022","Columbia",70.7133,55,69.5409,58,93.8094,327,93.175,334,111.973,345,114.191,348,-21.0155,351
"2022","Connecticut",66.755,257,64.7865,300,109.517,31,113.824,22,96.2022,44,95.2778,43,18.5464,22
"2022","Coppin St.",74.0051,5,72.2346,8,90.6106,348,91.97,344,101.149,162,103.679,198,-11.709,300
"2022","Cornell",72.9417,12,71.7383,16,104.175,127,103.416,166,104.161,238,105.031,221,-1.61545,193
"2022","Creighton",68.1373,172,67.1545,178,100.188,213,105.948,112,96.4531,49,92.1724,19,13.7758,50
"2022","Dartmouth",66.3531,270,64.6699,310,98.5533,256,98.6388,259,101.009,158,101.067,136,-2.42821,199
"2022","Davidson",65.6444,299,64.6942,307,113.27,11,116.761,11,100.494,142,101.91,155,14.8511,40
"2022","Dayton",64.4202,340,63.0815,344,107.231,58,109.065,68,94.6823,29,94.6032,39,14.4616,45
"2022","Delaware",67.5531,204,66.6936,204,106.9,62,106.974,94,103.648,229,104.333,213,2.64134,141
"2022","Delaware St.",70.4527,66,68.4385,105,85.7651,356,86.1875,356,107.462,292,110.48,314,-24.2923,356
"2022","Denver",67.9128,184,66.3702,222,102.81,160,99.8494,242,108.876,316,110.926,322,-11.0764,294
"2022","DePaul",70.3993,70,68.7923,91,102.978,156,106.934,97,102.523,200,100.195,122,6.73889,103
"2022","Detroit Mercy",65.4922,308,64.8673,296,106.615,69,105.616,124,108.635,312,111.188,325,-5.57186,236
"2022","Dixie St.",72.8046,15,71.3913,17,93.5032,331,95.6146,305,103.932,234,104.872,219,-9.25697,278
"2022","Drake",66.0343,281,66.2492,228,108.621,41,108.819,73,99.1517,103,99.3378,113,9.48168,84
"2022","Drexel",67.7862,192,66.413,220,105.084,109,104.456,147,102.521,199,102.94,176,1.51629,153
"2022","Duke",68.1484,171,67.2666,172,117.246,5,121.092,1,99.3533,111,95.9426,49,25.1493,8
"2022","Duquesne",66.8408,252,65.881,248,95.9154,297,98.8079,255,108.374,308,108.654,281,-9.8461,280
"2022","East Carolina",68.8117,133,67.6524,138,99.0249,241,102.675,183,102.395,194,103.536,191,-0.860882,179
"2022","East Tennessee St.",65.9795,285,65.3041,272,106.833,63,107.658,83,110.419,330,108.911,286,-1.25307,186
"2022","Eastern Illinois",66.3362,271,64.7441,305,82.0562,357,83.1716,357,107.59,296,108.889,285,-25.7176,357
"2022","Eastern Kentucky",71.6901,34,70.89,24,103.311,146,101.201,206,105.283,258,109.151,291,-7.95004,260
"2022","Eastern Michigan",70.5386,60,69.2143,68,94.9326,308,93.7492,330,106.325,272,107.354,265,-13.6048,316
"2022","Eastern Washington",70.5944,59,69.6794,52,105.808,95,104.072,156,105.794,268,107.935,278,-3.86296,217
"2022","Elon",66.9821,244,65.7876,253,97.3448,273,99.9419,236,108.404,309,106.52,252,-6.57837,247
"2022","Evansville",64.2653,341,64.0628,329,89.165,353,92.6079,339,108.615,311,106.798,256,-14.1906,321
"2022","Fairfield",65.1204,320,64.257,323,101.134,198,100.633,220,100.708,148,103.484,190,-2.85036,206
"2022","Fairleigh Dickinson",70.4124,68,69.6149,54,94.5021,315,94.8027,317,111.259,341,114.502,350,-19.6997,345
"2022","FIU",68.04,176,66.7355,201,98.8943,246,97.3004,278,103.615,226,106.099,248,-8.79877,275
"2022","Florida",66.8629,251,65.4199,267,104.846,115,110.224,47,98.9991,98,97.5569,77,12.667,59
"2022","Florida A&M",66.8225,253,65.4785,264,94.384,318,94.8718,315,102.271,189,107.6,274,-12.7281,309
"2022","Florida Atlantic",68.6116,143,67.4571,152,106.829,65,105.4,129,100.145,136,101.907,154,3.49302,129
"2022","Florida Gulf Coast",70.0829,80,70.2182,40,106.628,68,104.428,148,104.3,243,107.386,266,-2.95747,208
"2022","Florida St.",68.6182,142,67.782,129,102.666,163,105.284,130,104.293,242,99.0854,106,6.19868,105
"2022","Fordham",68.6289,141,67.6482,139,94.8155,309,94.688,321,95.5661,35,95.1167,41,-0.42861,173
"2022","Fresno St.",62.3547,355,61.7589,355,104.016,131,105.492,126,93.7483,23,94.3532,37,11.1389,73
"2022","Furman",65.5796,302,64.8344,297,114.155,8,113.885,20,102.862,210,102.869,174,11.016,74
"2022","Gardner Webb",68.3161,165,67.4414,155,98.7456,250,96.5755,293,95.3064,33,96.3591,58,0.216413,167
"2022","George Mason",66.5241,266,64.8237,298,103.979,132,105.893,115,100.685,147,101.053,135,4.83944,113
"2022","George Washington",69.658,92,68.889,83,96.9272,281,99.3212,248,103.395,222,103.783,203,-4.46193,226
"2022","Georgetown",71.0177,49,70.0518,43,99.496,229,104.876,140,108.658,313,105.354,228,-0.47822,175
"2022","Georgia",69.8156,85,68.6062,99,100.006,218,106.659,100,112.441,349,110.649,318,-3.99042,219
