"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2021","Texas A&M Corpus Chris",70.8827,97,69.5929,105,89.4926,337,89.3824,347,104.56,251,108.819,300,-19.4369,344
"2021","Texas Southern",72.8471,36,71.4587,45,99.4706,206,99.831,221,95.7997,46,104.197,212,-4.3657,208
"2021","Texas St.",63.5555,343,62.4493,354,101.4,168,99.5795,228,95.5963,43,100.813,141,-1.23385,183
"2021","Texas Tech",66.9565,279,65.0504,316,107.244,56,112.72,32,93.6431,19,90.9072,18,21.8128,17
"2021","The Citadel",74.4732,11,74.2073,4,103.951,110,103.984,136,110.458,328,109.114,305,-5.12957,218
"2021","Toledo",70.2215,120,68.6703,143,114.061,6,114.313,19,102.039,187,102.606,182,11.7066,74
"2021","Towson",66.9114,280,65.7824,294,99.27,209,99.0116,236,111.053,332,111.363,332,-12.3513,298
"2021","Troy",69.5149,158,68.1911,173,90.966,330,92.3841,322,102.826,215,105.003,228,-12.6191,305
"2021","Tulane",67.7668,233,67.3752,221,94.4392,295,99.7515,225,98.3055,87,97.8065,93,1.94501,144
"2021","Tulsa",67.131,273,65.5563,303,96.7873,263,102.635,165,98.7836,98,97.5488,91,5.08592,121
"2021","UAB",67.7806,231,66.9853,238,103.67,117,103.456,153,90.1193,7,95.0193,50,8.43631,102
"2021","UC Davis",70.3496,114,69.2079,119,98.1142,230,97.9687,253,100.167,134,102.342,181,-4.37316,209
"2021","UC Irvine",68.1046,219,67.3609,222,99.6582,202,101.283,192,93.2185,16,93.4062,38,7.87634,107
"2021","UC Riverside",66.82,282,66.6741,254,103.82,115,103.629,147,94.0801,22,95.6023,58,8.02658,106
"2021","UC San Diego",69.2322,172,69.7482,99,97.8434,240,101.743,182,109.987,326,108.034,289,-6.29097,231
"2021","UC Santa Barbara",66.5501,288,65.6491,301,109.199,34,109.852,56,94.3902,28,96.2226,69,13.629,58
"2021","UCF",67.9533,229,67.2259,225,98.4945,221,106.467,103,101.505,168,97.9259,95,8.54095,100
"2021","UCLA",64.9534,331,63.8414,341,108.815,37,116.924,11,101.634,175,94.4951,46,22.4293,13
"2021","UMass Lowell",69.2522,171,68.992,131,99.134,211,99.8117,223,102.407,204,106.098,259,-6.28623,230
"2021","UMBC",68.7244,188,67.5315,208,101.509,164,100.644,203,94.6609,32,100.793,139,-0.148941,172
"2021","UMKC",64.1331,340,62.546,352,97.315,249,96.1994,278,100.83,149,100.187,129,-3.98711,203
"2021","UNC Asheville",69.8806,141,68.2163,170,102.942,140,100.637,204,102.499,207,107.764,283,-7.12675,244
"2021","UNC Greensboro",70.1982,121,68.0388,183,103.625,119,103.631,146,95.5341,42,95.8401,62,7.79094,108
"2021","UNC Wilmington",70.0283,131,68.9953,130,104.911,92,102.07,173,105.079,261,109.487,309,-7.4172,248
"2021","UNLV",66.7065,285,66.0672,281,101.179,174,103.737,143,104.425,249,104.395,217,-0.65779,176
"2021","USC",67.5935,246,67.0285,235,109.05,35,115.678,14,94.9393,34,88.0996,6,27.5785,6
"2021","USC Upstate",68.696,191,68.2937,166,95.5876,277,94.7898,293,107.425,295,109.536,312,-14.7458,322
"2021","UT Arlington",70.2587,118,69.2146,118,98.367,227,98.2406,246,101.973,186,106.107,260,-7.8665,253
"2021","UT Rio Grande Valley",71.7517,70,69.6339,103,91.3584,326,91.7534,325,97.9872,77,102.799,187,-11.0453,282
"2021","Utah",67.6584,243,67.6049,203,105.411,88,112.748,31,102.266,198,96.9704,78,15.7773,44
"2021","Utah St.",69.3603,166,68.6079,149,103.576,120,104.791,126,89.7291,5,89.4533,8,15.3377,46
"2021","Utah Valley",71.3496,83,70.2305,85,101.139,175,100.521,207,103.575,233,104.269,215,-3.74775,199
"2021","UTEP",68.0798,220,67.7985,191,100.014,194,103.318,156,100.361,138,100.224,131,3.09459,136
"2021","UTSA",72.0568,57,71.7877,37,103.479,123,106.451,105,104.723,253,105.879,252,0.571697,160
"2021","Valparaiso",67.0505,276,66.9808,239,93.3652,308,96.5863,275,101.712,180,99.5242,123,-2.93793,193
"2021","Vanderbilt",69.5795,153,68.6241,147,103.039,137,108.865,71,103.71,236,100.616,136,8.24871,104
"2021","VCU",70.2879,117,69.5823,107,101.518,163,105.214,122,92.1215,10,90.1747,14,15.039,48
"2021","Vermont",66.5212,290,66.3817,267,108.363,44,105.469,118,93.9803,21,102.247,177,3.22155,133
"2021","Villanova",65.5399,319,64.1912,336,113.745,7,119.04,6,101.209,159,96.022,66,23.0179,12
"2021","Virginia",60.8067,347,59.8709,357,111.715,16,114.705,17,98.8209,101,93.2835,36,21.422,19
"2021","Virginia Tech",66.3604,293,65.7293,298,106.578,70,109.698,59,98.1002,81,95.261,53,14.4371,52
"2021","VMI",71.6064,74,69.9062,89,106.956,59,107.833,88,106.853,286,106.742,269,1.0909,153
"2021","Wagner",66.7789,284,65.5312,304,104.73,96,100.816,201,100.486,141,106.538,265,-5.72221,224
"2021","Wake Forest",67.1677,272,66.9712,241,97.3143,250,101.297,191,107.736,298,101.934,169,-0.636666,175
"2021","Washington",71.0067,93,71.0342,53,95.3121,282,104.039,135,108.765,311,100.389,134,3.65057,129
